github_org,github_stars,github_link
tesseract-ocr,68864,https://github.com/tesseract-ocr
chartjs,68531,https://github.com/chartjs
linkedin,68515,https://github.com/linkedin
minio,67690,https://github.com/minio
realm,67435,https://github.com/realm
Semantic-Org,67109,https://github.com/Semantic-Org
moment,67088,https://github.com/moment
syncthing,66292,https://github.com/syncthing
cypress-io,65602,https://github.com/cypress-io
OpnTec,65032,https://github.com/OpnTec
gatsbyjs,64570,https://github.com/gatsbyjs
php-fig,63804,https://github.com/php-fig
dmlc,63668,https://github.com/dmlc
styled-components,63406,https://github.com/styled-components
espressif,63307,https://github.com/espressif
jekyll,63188,https://github.com/jekyll
caddyserver,62923,https://github.com/caddyserver
postcss,62789,https://github.com/postcss
Azure-Samples,62513,https://github.com/Azure-Samples
dcloudio,62299,https://github.com/dcloudio
oracle,62250,https://github.com/oracle
TryGhost,62237,https://github.com/TryGhost
lodash,62134,https://github.com/lodash
commaai,62095,https://github.com/commaai
scrapy,62019,https://github.com/scrapy
obsproject,61527,https://github.com/obsproject
rstudio,61511,https://github.com/rstudio
resume,61402,https://github.com/resume
Meituan-Dianping,61274,https://github.com/Meituan-Dianping
hoppscotch,61041,https://github.com/hoppscotch
w3c,60921,https://github.com/w3c
mattermost,60807,https://github.com/mattermost
you-dont-need,60373,https://github.com/you-dont-need
rancher,59194,https://github.com/rancher
KhronosGroup,58947,https://github.com/KhronosGroup
auth0,58937,https://github.com/auth0
termux,58872,https://github.com/termux
koajs,58784,https://github.com/koajs
traefik,58763,https://github.com/traefik
mdn,58672,https://github.com/mdn
influxdata,58206,https://github.com/influxdata
scikit-learn,58181,https://github.com/scikit-learn
HubSpot,58110,https://github.com/HubSpot
segmentio,58064,https://github.com/segmentio
dropbox,57652,https://github.com/dropbox
allenai,57071,https://github.com/allenai
aquasecurity,57026,https://github.com/aquasecurity
kodecocodes,55744,https://github.com/kodecocodes
LSPosed,54848,https://github.com/LSPosed
localstack,54673,https://github.com/localstack
frappe,54522,https://github.com/frappe
NationalSecurityAgency,53975,https://github.com/NationalSecurityAgency
mobxjs,53712,https://github.com/mobxjs
angular-ui,53576,https://github.com/angular-ui
git,52927,https://github.com/git
x64dbg,52722,https://github.com/x64dbg
marmelab,52698,https://github.com/marmelab
trailofbits,52635,https://github.com/trailofbits
JuliaLang,52521,https://github.com/JuliaLang
basecamp,52419,https://github.com/basecamp
eclipse,52414,https://github.com/eclipse
helm,52328,https://github.com/helm
mastodon,52127,https://github.com/mastodon
youzan,51882,https://github.com/youzan
WordPress,51759,https://github.com/WordPress
discourse,51515,https://github.com/discourse
yahoo,51473,https://github.com/yahoo
ecomfe,51240,https://github.com/ecomfe
dwyl,51050,https://github.com/dwyl
gorilla,50803,https://github.com/gorilla
pixijs,50751,https://github.com/pixijs
openresty,50697,https://github.com/openresty
realpython,50688,https://github.com/realpython
v2ray,50523,https://github.com/v2ray
adobe-fonts,50454,https://github.com/adobe-fonts
meteor,50302,https://github.com/meteor
nccgroup,50088,https://github.com/nccgroup
infinitered,49847,https://github.com/infinitered
npm,49804,https://github.com/npm
hasura,49661,https://github.com/hasura
yarnpkg,49542,https://github.com/yarnpkg
tldr-pages,49503,https://github.com/tldr-pages
Leaflet,49495,https://github.com/Leaflet
nektos,49412,https://github.com/nektos
videojs,49224,https://github.com/videojs
jupyter,49206,https://github.com/jupyter
facebookincubator,48892,https://github.com/facebookincubator
webtorrent,48615,https://github.com/webtorrent
DefinitelyTyped,48539,https://github.com/DefinitelyTyped
RocketChat,48428,https://github.com/RocketChat
rapid7,47451,https://github.com/rapid7
composer,47446,https://github.com/composer
pyenv,47389,https://github.com/pyenv
confluentinc,47205,https://github.com/confluentinc
openstack,46798,https://github.com/openstack
palantir,46388,https://github.com/palantir
twitter-archive,46302,https://github.com/twitter-archive
hapijs,46205,https://github.com/hapijs
nasa,46186,https://github.com/nasa
wix,45985,https://github.com/wix
fex-team,45898,https://github.com/fex-team
KDE,45824,https://github.com/KDE
Alamofire,45658,https://github.com/Alamofire
digitalocean,45444,https://github.com/digitalocean
ory,44962,https://github.com/ory
gogs,44935,https://github.com/gogs
servo,44863,https://github.com/servo
xitu,44730,https://github.com/xitu
WebAssembly,44505,https://github.com/WebAssembly
mandiant,44467,https://github.com/mandiant
fastlane,44449,https://github.com/fastlane
hexojs,44411,https://github.com/hexojs
raspberrypi,44182,https://github.com/raspberrypi
php,44006,https://github.com/php
nytimes,43845,https://github.com/nytimes
bazelbuild,43269,https://github.com/bazelbuild
id-Software,43158,https://github.com/id-Software
ClickHouse,43143,https://github.com/ClickHouse
httpie,43129,https://github.com/httpie
atlassian,42774,https://github.com/atlassian
iview,42761,https://github.com/iview
FFmpeg,42457,https://github.com/FFmpeg
lewagon,42071,https://github.com/lewagon
sequelize,42053,https://github.com/sequelize
ruby,41993,https://github.com/ruby
pandas-dev,41968,https://github.com/pandas-dev
go-gitea,41774,https://github.com/go-gitea
Qihoo360,41636,https://github.com/Qihoo360
nwjs,41571,https://github.com/nwjs
aspnet,41505,https://github.com/aspnet
Yelp,41499,https://github.com/Yelp
metafizzy,41460,https://github.com/metafizzy
isocpp,41401,https://github.com/isocpp
